cohort,repositories,repo_months,total_issues,requirement_issues,avg_monthly_commits,avg_requirement_ratio,avg_ignored_ratio,pct_zero_req_months
abandoned,89,2136,6062.0,912.0,16.177,0.139,0.309,0.823
active,89,2136,24633.0,11058.0,47.87,0.352,0.192,0.395
